Agent_ID,Product_Category,Commission_Percentage
Agent_1582462,Electronics,29.20
Agent_1355327,Home & Furniture,67.95
Agent_308716,Auto & Accessories,1.31
Agent_1647287,Auto & Accessories,92.29
Agent_139307,Home & Furniture,6.24
Agent_2345459,Electronics,50.72
Agent_1653264,Home & Furniture,77.96
Agent_2297809,Home & Furniture,33.86
Agent_2137548,Electronics,11.46
Agent_1148739,Auto & Accessories,99.54
Agent_57591,Fashion,11.42
Agent_1909909,Electronics,65.59
Agent_428592,Home & Furniture,71.70
Agent_654472,Home & Furniture,98.11
Agent_1942187,Fashion,22.38
Agent_1019909,Auto & Accessories,53.59
Agent_1658750,Home & Furniture,58.89
Agent_2260603,Fashion,29.41
Agent_1260260,Fashion,4.12
Agent_761837,Fashion,70.41
Agent_2164125,Electronics,79.02
Agent_477717,Auto & Accessories,53.80
Agent_1749514,Electronics,46.91
Agent_2050294,Auto & Accessories,52.99
Agent_1799605,Fashion,81.46
Agent_50240,Home & Furniture,67.58
Agent_609659,Home & Furniture,66.29
Agent_1807239,Auto & Accessories,54.34
Agent_1689099,Electronics,33.66
Agent_1401440,Home & Furniture,38.56
Agent_971358,Home & Furniture,83.57
Agent_2178329,Home & Furniture,95.96
Agent_2135047,Home & Furniture,94.35
Agent_59237,Auto & Accessories,71.38
Agent_1592524,Electronics,9.99
Agent_1872317,Home & Furniture,3.25
Agent_1419647,Fashion,5.36
Agent_469714,Electronics,16.90
Agent_1883559,Home & Furniture,7.38
Agent_856472,Auto & Accessories,96.01
Agent_1822693,Home & Furniture,12.57
Agent_2169238,Auto & Accessories,63.78
Agent_1960041,Auto & Accessories,59.48
Agent_560962,Auto & Accessories,12.75
Agent_1227512,Fashion,72.68
Agent_504942,Electronics,66.55
Agent_406151,Home & Furniture,26.15
Agent_1872274,Auto & Accessories,16.64
Agent_1788477,Auto & Accessories,93.82
Agent_350543,Home & Furniture,38.64
Agent_456607,Electronics,36.64
Agent_236522,Auto & Accessories,26.98
Agent_6571,Electronics,49.62
Agent_776717,Home & Furniture,34.93
Agent_192261,Electronics,50.42
Agent_1008200,Home & Furniture,44.82
Agent_362586,Auto & Accessories,94.99
Agent_1706711,Electronics,99.02
Agent_324463,Electronics,76.15
Agent_159726,Fashion,46.02
Agent_563901,Home & Furniture,82.51
Agent_556127,Fashion,67.41
Agent_965854,Fashion,91.04
Agent_430082,Electronics,42.67
Agent_797724,Auto & Accessories,26.58
Agent_2113120,Auto & Accessories,37.65
Agent_651665,Fashion,91.86
Agent_202127,Fashion,44.41
Agent_776882,Home & Furniture,43.94
Agent_1353199,Fashion,86.00
Agent_1961028,Home & Furniture,45.21
